NUTS3_ID,GDP_capita
RO421,8800
RO422,7000
RO423,6800
RO424,11700
RO116,6600
RO121,8400
RO211,5500
RO212,4200
RO213,6700
RO214,5200
RO311,7800
RO312,4600
RO122,10600
RO123,6000
RO215,4900
RO216,4000
RO313,6100
RO314,3900
RO124,5800
RO125,6700
RO315,5500
RO316,10400
RO126,9800
RO221,6200
RO222,5400
RO317,4800
RO321,22700
RO322,10100
RO223,11300
RO224,5600
RO111,6900
RO112,6400
RO225,6600
RO226,5200
PL323,6400
PL428,8700
PL523,6800
PL524,10100
PL613,11500
PL616,7500
PL617,7400
PL618,8100
PL619,7600
PT112,15000
PT119,15100
PT11A,17200
PT16G,13500
PT16H,16300
PL621,7600
PL622,8900
PT11B,11700
PT11C,11200
PT11D,13100
PT16I,15000
PT16J,12100
PL623,6400
PT11E,14000
PT170,23800
PL634,8100
PL636,8200
PT187,15700
PT150,19300
PT16B,14700
PT16D,17700
PL637,7200
PL638,8900
PT111,13700
PT181,24200
PT184,17200
PT16E,16500
PT16F,18000
PT185,15600
PT186,14200
PL229,13600
PL324,5900
PL325,9700
PL224,9600
PL225,11800
PL227,9500
PL228,8000
PL326,8200
PL411,8500
PL431,9300
PL432,9300
PL22A,14600
PL22B,10500
PL22C,14100
PL311,6600
PL331,8700
PL414,8500
PL415,22000
PL416,10000
PL332,6800
PL417,10000
PL418,13900
PL514,18300
PL343,9100
PL633,16100
PL424,13100
PL515,8800
PL516,15100
PL344,7000
PL345,6800
PL426,9000
PL517,8200
PL518,11600
PL312,5900
PL314,10200
PL427,6700
PL315,6800
SK041,9000
SI031,13300
SI032,16000
SI033,15900
SK010,36700
SK042,11700
SI034,18000
SI035,10400
SI036,16400
SI037,18400
SI038,14600
SK021,16200
SK022,12400
SK023,12600
SK031,12900
SI041,27700
SI042,17200
SI043,18000
SI044,19500
SK032,10800
SE231,36800
SE232,48100
SE313,37000
SE321,40600
SE322,38200
SE331,40400
SE311,36900
SE312,39100
SE332,45100
SE213,36400
SE121,45400
SE214,39400
SE122,33600
SE221,36600
SE123,41100
SE124,40700
SE125,39300
SE224,40000
SE211,41900
SE110,65300
SE212,43800
UKK11,41500
UKK12,38700
UKL24,23600
UKM21,28300
UKM22,26700
UKM23,22100
UKM24,22800
UKM25,60100
UKM26,30900
UKM28,34600
UKM35,23000
UKM36,27900
UKM37,23200
UKM38,23000
UKM50,49300
UKM32,25700
UKM33,18800
UKM34,42300
UKN03,29100
UKN01,49300
UKN02,29100
UKN05,29100
UKM64,26400
UKN04,29100
UKM63,31400
UKM61,28000
UKM31,19900
UKM27,38300
UKM65,36900
UKM62,35800
UKM66,43600
UKJ21,36300
UKJ22,22000
UKJ25,49500
UKK13,33200
UKK14,59500
UKK15,31000
UKK21,34200
UKJ26,48600
UKJ27,30400
UKJ28,41400
UKJ31,34500
UKJ32,40100
UKJ34,23100
UKK22,27800
UKJ35,31700
UKK23,26200
UKL11,18800
UKJ36,37000
UKJ37,50000
UKL12,27900
UKL13,22300
UKL15,21300
UKL16,19700
UKJ41,24800
UKJ43,31600
UKJ44,24500
UKJ45,32200
UKJ46,41600
UKK30,24600
UKL14,23600
UKL17,24700
UKL18,29300
UKK41,27400
UKK42,20600
UKK43,29200
UKL21,31700
UKL22,37300
UKL23,30800
UKD44,23600
UKD45,39800
UKD46,29400
UKD47,26300
UKD61,45600
UKD62,49300
UKD63,37500
UKD71,29700
UKD72,35300
UKD73,20200
UKD74,20000
UKE21,38400
UKE31,22900
UKE32,28600
UKE41,23700
UKE42,41500
UKE44,24900
UKE45,28200
UKG21,32500
UKE22,29800
UKG31,32400
UKG32,55900
UKG33,37400
UKG36,21500
UKG37,23800
UKG38,22300
UKG39,23100
UKF11,36100
UKF12,26500
UKE11,30900
UKE12,24600
UKE13,28300
UKG22,25300
UKG23,26900
UKG24,27200
UKF13,26100
UKF14,40000
UKF15,24900
UKF16,24200
UKH12,38700
UKH14,32400
UKH15,32600
UKH16,24100
UKH17,24500
UKF21,31400
UKF22,32600
UKF24,37900
UKG11,27700
UKH21,37100
UKH23,42100
UKH24,31100
UKH25,28000
UKH34,25300
UKH35,35400
UKH36,35500
UKH37,29000
UKF25,26400
UKF30,25500
UKI41,31300
UKG12,28900
UKG13,42200
UKH11,37900
UKI42,142200
UKI43,59100
UKI44,49400
UKI45,52200
UKI51,30100
UKI52,26100
UKI53,21300
UKI54,29800
UKI61,31900
UKI31,501600
UKI32,351400
UKI33,78800
UKI34,32500
UKH31,20800
UKH32,31600
UKI62,29900
UKI63,35000
UKI71,30500
UKJ13,37300
UKJ14,41500
UKI72,36100
UKI73,38200
UKI74,46900
UKI75,69100
UKJ11,62500
UKJ12,63600
UKC11,29900
UKC12,21900
UKC13,34000
UKC14,21600
UKC21,22000
UKC22,29700
UKC23,33600
UKD11,28600
UKD12,34100
UKD33,51600
UKD34,43000
UKD35,24900
UKD36,23600
UKD37,21100
UKD41,27800
UKD42,24600
HR049,6300
HR04A,6200
HR04B,8800
HR04C,6500
HR04D,8400
HR04E,7900
HR033,9000
HR034,8800
HR035,8700
HR036,14200
HR041,19700
HR037,11500
HR032,8600
HR042,8400
HR043,7300
HR044,9400
HR031,13700
HR045,8600
HR046,9300
HR047,7600
HR048,6100
EL091,16400
AD01,44108
SM01,37069
VA01,28000
FO01,47211
IM01,73901
GG01,58482
JE01,63024
SJ01,42400
GI01,52182
MC1,143799
ES704,21400
ES705,18500
ES708,22900
ES706,18800
ES709,20000
ES707,18200
ES703,17400
FRA10,23100
FRA20,24700
FRA30,17200
FRA40,22200
FRA50,10400
FRA10,23100
PT300,17500
PT200,16200
ES630,19300
ES640,17800
